Team,Season,Games,PA,AB,PPG,H,2B,3B,HR,TB,RBI,DB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,GP,CG,Shout out,Starting,Win,Lose,Save,Hold,Inning,R,ER,Batters Faced,HPG,HRPG,BBPG,IBBPG,HBPPG,KPG,Balk,WPPG,ERA,FIP,WHIP,ERA+,FIP+,RPG,WAR
Lotte,13,128,4978,4289,4.34,1118,208,18,61,1545,522,133,58,502,72,22,862,92,74,41,0.261,0.345,0.36,0.705,0.33,91.9,537,1,1,128,66,58,38,64,1149.1,553,502,4986,8.97,0.66,3.82,0.0,0.48,6.41,0,0.35,3.93,4.31,1.42,111.2,101.4,4.32,42.56999999999999
Lotte,12,133,5043,4481,3.83,1179,202,16,73,1632,479,119,53,375,54,19,890,91,107,26,0.263,0.326,0.364,0.69,0.319,96.5,598,3,1,133,65,62,39,63,1190.1,518,460,5070,8.61,0.56,3.53,0.15,0.4,6.2,1,0.49,3.48,3.79,1.36,110.2,101.1,3.89,44.18
NC,23,144,5606,4895,4.72,1321,223,28,98,1894,642,111,46,494,99,10,1005,122,63,55,0.27,0.345,0.387,0.732,0.34,105.9,688,0,0,144,75,67,33,88,1281.1,617,545,5492,8.06,0.69,3.56,0.04,0.43,7.57,3,0.4,3.83,4.08,1.31,108.8,103.2,4.28,46.03
NC,22,144,5585,4899,4.49,1261,231,14,105,1835,613,100,39,501,88,24,981,112,50,47,0.257,0.334,0.375,0.709,0.326,100.5,681,0,0,144,67,74,25,54,1286.2,642,559,5604,8.54,0.77,3.58,0.07,0.68,8.11,5,0.56,3.91,4.05,1.36,104.2,101.4,4.46,39.739999999999995
NC,21,144,5532,4808,4.88,1254,203,17,170,2001,670,100,46,511,111,14,1093,94,59,43,0.261,0.343,0.416,0.759,0.349,104.5,696,3,1,144,67,68,33,80,1256.2,697,634,5622,8.81,0.87,4.11,0.1,0.53,7.33,8,0.52,4.54,4.51,1.48,100.0,100.1,4.84,40.61
NC,20,144,5833,5102,6.17,1483,258,28,187,2358,845,101,38,529,104,21,997,106,46,51,0.291,0.366,0.462,0.828,0.37,115.0,736,0,0,144,83,55,31,88,1296.2,714,661,5690,8.97,1.06,3.8,0.07,0.55,7.28,7,0.45,4.59,4.9,1.42,106.3,98.9,4.96,52.38
NC,19,144,5631,4968,4.68,1383,249,26,128,2068,639,86,45,456,83,14,880,126,64,60,0.278,0.345,0.416,0.762,0.346,106.6,645,5,2,144,73,69,32,68,1284.1,631,573,5578,8.92,0.72,3.35,0.07,0.64,6.88,2,0.47,4.02,4.22,1.38,105.5,100.2,4.38,43.66
NC,18,144,5488,4895,4.58,1280,233,18,143,1978,629,82,35,427,88,15,1081,115,35,43,0.261,0.329,0.404,0.733,0.322,83.6,622,1,0,144,58,85,24,51,1264.0,844,773,5701,10.02,1.29,3.73,0.12,0.47,7.01,6,0.64,5.5,5.54,1.57,94.3,94.9,5.86,20.810000000000002
NC,17,144,5790,5079,5.46,1489,277,19,149,2251,739,93,32,471,130,19,979,119,62,48,0.293,0.365,0.443,0.808,0.356,106.6,620,1,0,144,79,62,32,51,1284.2,745,673,5640,9.32,1.17,3.26,0.08,0.65,7.62,3,0.65,4.71,5.02,1.41,105.3,99.6,5.17,42.870000000000005
NC,16,144,5833,5007,5.95,1457,249,19,169,2251,808,99,41,609,93,18,1023,133,70,52,0.291,0.375,0.45,0.824,0.369,108.6,628,0,0,144,83,58,36,62,1286.1,690,642,5643,9.12,0.95,3.58,0.01,0.6,7.97,7,0.58,4.49,4.79,1.42,113.3,107.4,4.79,54.650000000000006
NC,15,144,5727,4967,5.86,1437,283,28,161,2259,802,204,60,536,106,24,1023,105,64,53,0.289,0.367,0.455,0.822,0.363,110.9,635,1,0,144,84,57,37,55,1279.1,655,606,5536,8.91,1.03,3.03,0.09,0.78,7.34,3,0.42,4.26,4.73,1.34,112.4,103.1,4.55,51.86
NC,14,128,5031,4426,5.76,1249,228,36,143,1978,697,154,47,443,67,9,918,90,44,51,0.282,0.353,0.447,0.8,0.354,97.6,580,3,1,128,70,57,31,59,1135.2,608,554,5003,9.17,0.91,3.76,0.06,0.57,6.62,5,0.39,4.39,5.14,1.46,118.5,102.6,4.75,48.34
NC,13,128,4866,4282,4.0,1045,209,25,86,1562,485,142,47,434,62,11,955,94,55,31,0.244,0.32,0.365,0.685,0.319,84.3,510,5,1,128,52,72,26,31,1144.1,551,503,4919,8.41,0.75,3.58,0.0,0.73,6.7,6,0.47,3.96,4.39,1.34,108.6,97.9,4.3,34.98
Samsung,23,144,5581,4912,4.42,1290,208,23,88,1808,603,103,35,487,62,15,954,114,77,43,0.263,0.334,0.368,0.702,0.327,94.7,691,1,0,144,61,81,38,69,1278.1,728,655,5675,9.81,0.83,3.22,0.13,0.36,6.24,7,0.35,4.61,4.42,1.47,91.8,94.8,5.06,28.97
Samsung,22,144,5647,5023,4.6,1357,241,19,103,1945,626,90,27,447,53,28,1029,119,83,41,0.27,0.334,0.387,0.721,0.328,99.3,686,1,1,144,66,76,34,71,1287.0,695,619,5678,9.51,0.9,3.32,0.15,0.46,6.74,3,0.33,4.33,4.35,1.44,96.4,95.0,4.83,34.129999999999995
Samsung,21,144,5552,4836,4.94,1292,204,18,133,1931,669,116,44,545,55,21,902,98,48,68,0.267,0.344,0.399,0.743,0.344,100.8,676,2,1,144,76,59,46,80,1259.0,658,601,5536,9.01,0.91,3.68,0.09,0.35,7.21,3,0.4,4.3,4.39,1.45,105.1,103.0,4.57,41.38
Samsung,20,144,5574,4923,4.85,1317,211,12,129,1939,658,132,49,486,62,10,990,117,50,53,0.268,0.338,0.394,0.732,0.333,91.1,698,3,1,144,64,75,25,80,1272.1,745,676,5634,9.24,1.05,3.76,0.11,0.47,6.47,5,0.39,4.78,5.03,1.47,102.5,97.0,5.17,34.21
Samsung,19,144,5533,4866,4.32,1245,230,26,122,1893,598,107,42,478,78,15,976,107,58,53,0.256,0.329,0.389,0.718,0.328,94.7,627,4,4,144,60,83,29,60,1275.1,731,658,5638,9.25,0.87,3.63,0.06,0.49,6.42,5,0.34,4.64,4.6,1.46,93.2,92.8,5.08,28.799999999999997
Samsung,18,144,5766,5109,5.39,1471,241,29,146,2208,732,116,52,468,87,14,1034,115,57,45,0.288,0.355,0.432,0.787,0.344,96.6,618,0,0,144,68,72,33,56,1285.1,802,745,5740,10.26,1.28,3.06,0.07,0.74,7.74,5,0.31,5.22,5.23,1.49,101.7,100.5,5.57,38.150000000000006
Samsung,17,144,5707,5095,5.26,1419,255,36,145,2181,703,98,37,429,70,17,983,97,58,55,0.279,0.34,0.428,0.768,0.337,92.7,613,1,0,144,55,84,27,34,1281.1,911,840,5916,10.7,1.3,3.81,0.1,0.82,7.38,4,0.51,5.9,5.5,1.63,86.0,91.7,6.33,23.6
Samsung,16,144,5863,5093,5.92,1492,249,34,142,2235,792,104,50,552,75,15,864,119,88,55,0.293,0.367,0.439,0.806,0.36,100.1,647,2,0,144,65,78,34,60,1282.1,869,804,5799,10.47,1.34,3.6,0.04,0.6,6.49,8,0.36,5.64,5.69,1.58,93.4,91.7,6.03,34.760000000000005
Samsung,15,144,5803,5019,6.23,1515,259,25,176,2352,850,157,52,581,70,21,930,109,76,57,0.302,0.378,0.469,0.847,0.373,115.3,577,4,1,144,88,56,34,60,1275.1,716,666,5523,9.19,1.26,2.94,0.08,0.44,8.29,2,0.31,4.7,4.72,1.37,105.1,104.2,4.97,47.82
Samsung,14,128,5152,4464,6.34,1345,238,23,161,2112,763,161,46,507,62,11,743,88,76,43,0.301,0.377,0.473,0.85,0.374,107.9,543,3,1,128,78,47,35,65,1144.0,621,583,4990,9.51,0.94,3.09,0.09,0.48,7.78,3,0.4,4.59,4.65,1.41,115.3,113.6,4.85,58.620000000000005
Samsung,13,128,5042,4370,5.23,1235,212,17,113,1820,624,95,41,453,93,9,818,98,84,41,0.283,0.359,0.416,0.776,0.357,110.1,508,2,1,128,75,51,31,49,1146.2,545,507,4896,8.74,0.77,3.21,0.0,0.47,7.46,4,0.34,3.98,4.03,1.33,107.6,106.4,4.26,54.22
Samsung,12,133,5161,4436,4.72,1205,200,26,89,1724,585,125,48,500,86,19,813,91,91,47,0.272,0.353,0.389,0.742,0.344,113.9,522,3,0,133,80,51,39,71,1187.2,473,448,4941,8.16,0.49,2.89,0.11,0.28,6.65,5,0.35,3.39,3.35,1.24,112.5,113.9,3.56,62.48
SSG,23,144,5630,4923,4.57,1278,229,16,125,1914,610,96,28,506,79,21,943,89,77,45,0.26,0.336,0.389,0.724,0.334,101.8,641,1,0,144,74,65,44,68,1288.0,698,627,5719,9.4,0.72,4.24,0.13,0.47,6.76,3,0.42,4.38,4.52,1.53,95.5,93.6,4.85,38.53
SSG,22,144,5642,4893,5.0,1245,243,18,138,1938,682,98,39,530,95,22,1075,96,77,47,0.254,0.336,0.396,0.732,0.333,102.7,598,1,0,144,88,52,45,67,1301.1,622,564,5533,8.49,0.9,3.17,0.12,0.45,7.1,2,0.51,3.9,4.23,1.29,106.7,99.2,4.32,44.07
SSG,21,144,5736,4899,5.24,1278,205,13,185,2064,712,100,43,636,94,23,1056,106,55,52,0.261,0.354,0.421,0.775,0.357,108.7,660,0,0,144,66,64,25,56,1276.2,741,687,5706,9.0,1.03,4.38,0.19,0.53,7.03,9,0.28,4.84,4.86,1.51,92.6,93.5,5.15,38.71
SSG,20,144,5502,4839,4.4,1212,177,17,143,1852,595,81,45,511,69,18,981,112,49,34,0.25,0.329,0.383,0.711,0.324,85.3,686,1,0,144,51,92,20,53,1259.1,846,783,5727,9.33,1.12,4.65,0.08,0.58,6.62,5,0.59,5.6,5.48,1.6,86.4,89.0,5.88,18.58
SSG,19,144,5542,4919,4.55,1290,218,14,117,1887,622,118,50,462,87,20,966,92,35,38,0.262,0.334,0.384,0.718,0.331,97.4,628,0,0,144,88,55,51,92,1292.1,546,503,5463,8.61,0.69,3.03,0.08,0.35,7.58,4,0.35,3.5,3.81,1.3,121.1,112.2,3.79,49.4
SSG,18,144,5682,4992,5.76,1403,234,13,233,2362,791,108,39,483,119,6,1079,103,54,34,0.281,0.356,0.473,0.829,0.357,103.8,634,0,0,144,78,65,29,63,1274.2,729,664,5563,9.4,1.31,2.95,0.1,0.51,7.85,2,0.43,4.69,5.13,1.4,112.1,103.4,5.06,45.85
SSG,17,144,5564,4925,5.28,1337,222,15,234,2291,733,53,42,427,113,20,1100,97,57,41,0.271,0.341,0.465,0.806,0.349,99.3,608,2,1,144,75,68,30,64,1270.2,767,710,5692,10.02,1.07,3.34,0.24,0.73,6.53,7,0.42,5.03,5.13,1.51,100.1,98.6,5.33,37.349999999999994
SSG,16,144,5672,5023,5.23,1464,234,19,182,2282,715,89,60,429,102,13,1018,104,71,47,0.291,0.356,0.454,0.811,0.359,100.1,600,1,0,144,69,75,31,43,1274.0,784,699,5659,9.62,1.05,3.66,0.12,0.53,6.56,7,0.45,4.94,5.23,1.5,105.7,100.3,5.44,38.510000000000005
SSG,15,144,5588,4861,4.81,1323,214,10,145,1992,656,94,59,490,98,13,1047,113,110,29,0.272,0.349,0.41,0.759,0.338,95.4,621,3,2,144,69,73,31,60,1280.2,724,673,5646,9.43,1.06,3.59,0.22,0.49,7.98,4,0.51,4.73,4.68,1.46,102.1,103.8,5.03,40.760000000000005
SSG,14,128,5082,4423,5.74,1285,245,22,115,1919,696,139,46,447,72,12,926,92,91,49,0.291,0.362,0.434,0.795,0.353,99.5,556,2,0,128,61,65,26,44,1129.1,760,699,5112,9.93,1.2,4.08,0.15,0.53,6.54,1,0.52,5.57,5.65,1.59,91.6,92.6,5.94,39.65
SSG,13,128,4950,4278,4.59,1134,189,20,124,1735,558,144,63,465,86,26,918,99,83,37,0.265,0.346,0.406,0.752,0.344,101.6,522,4,1,128,62,63,31,38,1139.0,571,527,4932,8.52,0.79,3.95,0.0,0.55,6.86,5,0.52,4.16,4.47,1.4,104.2,97.0,4.46,46.14
SSG,12,133,4996,4347,4.24,1120,197,15,108,1671,523,104,75,445,58,19,864,85,118,28,0.258,0.333,0.384,0.717,0.33,103.9,549,0,0,133,71,59,40,69,1181.1,528,502,5007,8.38,0.68,3.44,0.2,0.53,6.12,7,0.26,3.82,3.99,1.33,99.6,95.5,3.97,45.53
